country,year,name,population,output_head,output_worker,capital_head,education,labor
AFG,1970,Afghanistan,12430.623,863.47731,2598.8666,1002.973,1.16,4130.093
AFG,1971,Afghanistan,12749.385,883.48503,2664.1812,1031.383,1.168,4227.9
AFG,1972,Afghanistan,13079.46,752.89367,2274.7375,1036.609,1.176,4329.045
AFG,1973,Afghanistan,13421.301,795.49006,2408.0589,1038.237,1.184,4433.659
AFG,1974,Afghanistan,13772.076,815.96266,2474.7933,1054.126,1.192,4540.783
AFG,1975,Afghanistan,14132.019,856.77143,2603.5836,1081.735,1.2,4650.479
AFG,1976,Afghanistan,14501.369,884.17761,2692.0654,1147.541,1.188,4762.806
AFG,1977,Afghanistan,14880.372,817.28272,2493.2141,1188.824,1.176,4877.829
AFG,1978,Afghanistan,15269.281,858.02444,2622.5858,1245.637,1.164,4995.61
AFG,1979,Afghanistan,15555.612,819.07823,2508.4177,1288.651,1.152,5079.402
AFG,1980,Afghanistan,15112.149,811.82299,2491.0468,1327.049,1.14,4924.994
AFG,1981,Afghanistan,13812.973,907.83289,2790.8532,1379.316,1.172,4493.204
AFG,1982,Afghanistan,12881.816,992.8395,3063.2955,1439.388,1.204,4175.104
AFG,1983,Afghanistan,12934.937,1037.4311,3207.3799,1502.304,1.236,4183.822
AFG,1984,Afghanistan,13387.737,1020.806,3167.8573,1559.514,1.268,4314.046
AFG,1985,Afghanistan,13796.928,993.09186,3088.1726,1608.982,1.3,4436.804
AFG,1986,Afghanistan,13856.1,1018.4638,3178.4972,1659.194,1.306,4439.814
AFG,1987,Afghanistan,13867.957,913.14927,2854.9632,1691.278,1.312,4435.614
AFG,1988,Afghanistan,14076.478,825.18082,2589.2159,1708.705,1.318,4486.161
AFG,1989,Afghanistan,14511.868,743.928,2339.5353,1713.393,1.324,4614.5
AFG,1990,Afghanistan,14669.339,712.96375,2248.0682,1713.342,1.33,4652.309
AFG,1991,Afghanistan,14871.963,648.53951,2046.0288,1703.784,1.36,4714.037
AFG,1992,Afghanistan,16317.921,614.69186,1940.2878,1689.719,1.39,5169.59
AFG,1993,Afghanistan,18371.583,418.49234,1321.6904,1648.212,1.42,5817.071
AFG,1994,Afghanistan,19900.668,306.43758,968.31773,1593.057,1.45,6297.842
ARE,1975,United Arab Emirates,522.571,69370.819,143304.64,70070.82,2.87,252.9658
ARG,1960,Argentina,20616.009,8814.7006,23455.366,18278.23,5.25,7747.649
ARG,1961,Argentina,20950.583,8962.0286,23869.847,19289.13,5.29,7865.979
ARG,1962,Argentina,21283.783,8903.8476,23737.231,20023.96,5.33,7983.558
ARG,1963,Argentina,21616.403,8480.7267,22630.536,20355.16,5.37,8100.684
ARG,1964,Argentina,21949.244,8966.9053,23950.477,21074.54,5.41,8217.656
ARG,1965,Argentina,22283.1,9691.0837,25909.207,21802.21,5.45,8334.774
ARG,1966,Argentina,22611.604,9577.8211,25630.619,22384.77,5.602,8449.655
ARG,1967,Argentina,22934.225,9707.5615,26002.403,22977.99,5.754,8562.108
ARG,1968,Argentina,23260.514,10048.185,26940.294,23674.22,5.906,8675.701
ARG,1969,Argentina,23600.026,10753.232,28857.951,24765.56,6.058,8793.991
ARG,1970,Argentina,23962.313,10926.525,29350.848,25808.65,6.21,8920.52
ARG,1971,Argentina,24363.816,11139.297,29993.977,26947.43,6.228,9048.343
ARG,1972,Argentina,24779.799,11102.713,29967.155,28002.48,6.246,9180.817
ARG,1973,Argentina,25209.829,11262.506,30471.519,28763.5,6.264,9317.745
ARG,1974,Argentina,25646.371,11757.832,31888.307,29535.21,6.282,9456.311
ARG,1975,Argentina,26081.88,11479.259,31207.985,30223.26,6.3,9593.72
ARG,1976,Argentina,26531.28,11499.547,31338.833,31079.94,6.446,9735.452
ARG,1977,Argentina,26983.828,12101.967,33060.605,32383.75,6.592,9877.538
ARG,1978,Argentina,27440.272,11650.47,31904.622,33162.72,6.738,10020.24
ARG,1979,Argentina,27901.971,12171.299,33412.192,34029.63,6.884,10164.05
ARG,1980,Argentina,28369.799,12116.412,33342.836,34946.37,7.03,10309.27
ARG,1981,Argentina,28848.055,11319.037,31110.81,35323.56,7.042,10495.78
ARG,1982,Argentina,29329.88,10867.208,29753.628,35151.93,7.054,10712.44
ARG,1983,Argentina,29793.552,11137.672,30357.972,34967.14,7.066,10930.6
ARG,1984,Argentina,30230.644,11203.303,30618.633,34687.42,7.078,11061.34
ARG,1985,Argentina,30671.759,10410.468,28467.113,34146.98,7.09,11216.71
ARG,1986,Argentina,31144.993,10832.225,29630.913,33781.25,7.298,11385.73
ARG,1987,Argentina,31624.62,10892.325,29796.955,33625.93,7.506,11560.43
ARG,1988,Argentina,32099.32,10562.618,28826.386,33386.45,7.714,11761.89
ARG,1989,Argentina,32571.624,9833.9467,26801.381,32759.02,7.922,11951.16
ARG,1990,Argentina,33035.578,9445.76,25681.908,31939.14,8.13,12150.43
ARG,1991,Argentina,33504.409,10109.418,25426.794,31506.06,8.196,13320.99
ARG,1992,Argentina,33966.849,10905.662,27213.314,31565.79,8.262,13612.12
ARG,1993,Argentina,34407.154,11471.771,28387.413,31978.49,8.328,13904.44
ARG,1994,Argentina,34846.891,11912.957,29186.256,32624.51,8.394,14223.46
ARG,1995,Argentina,35273.844,11709.228,28416.312,32882.25,8.46,14534.94
ARG,1996,Argentina,35682.96,12118.013,29149.274,33384.77,8.534,14834.21
ARG,1997,Argentina,36102.16,12778.252,30429.872,34231.98,8.608,15160.19
ARG,1998,Argentina,36517.919,13132.143,30967.551,35133.49,8.682,15485.84
ARG,1999,Argentina,36923.417,12717.348,29693.421,35459.86,8.756,15813.87
ARG,2000,Argentina,37335.653,12518.49,28930.211,35649.23,8.83,16155.64
ARG,2001,Argentina,37694.169,12066.741,27635.749,35533.27,8.904,16458.6
ARG,2002,Argentina,37999.45,11273.66,25538.009,34657.19,8.978,16774.72
ARG,2003,Argentina,38336.881,11951.107,26774.24,34319.68,9.052,17112.28
ARG,2004,Argentina,38741.833,12647.787,28024.843,34492.36,9.126,17484.43
ARG,2005,Argentina,39181.261,13603.169,29866.704,34964.27,9.2,17845.6
ARG,2006,Argentina,39614.434,14495.778,31493.058,35828.33,9.274,18233.92
ARG,2007,Argentina,40048.816,15274.676,33056.053,36974.66,9.348,18505.92
AUS,1960,Australia,10361.273,12042.641,29356.615,41270.21,9.73,4250.391
AUS,1961,Australia,10598.814,11816.608,28971.371,42011.41,9.698,4322.958
AUS,1962,Australia,10794.968,12442.697,30384.088,43176.52,9.666,4420.686
AUS,1963,Australia,11001.483,13116.859,31905.502,44483.28,9.634,4522.885
AUS,1964,Australia,11218.304,13872.147,33590.345,46329.43,9.602,4632.938
AUS,1965,Australia,11439.384,13942.136,33357.888,47965.62,9.57,4781.162
AUS,1966,Australia,11655.083,14482.39,33786.901,49699.22,9.704,4995.826
AUS,1967,Australia,11872.264,14776.169,34198.743,51284.34,9.838,5129.621
AUS,1968,Australia,12101.66,15819.505,36399.824,53494.39,9.972,5259.429
AUS,1969,Australia,12379.384,16326.448,37450.707,55495.45,10.106,5396.73
AUS,1970,Australia,12660.16,16638.74,37442.704,57423.86,10.24,5625.905
AUS,1971,Australia,12937.2,16943.541,38897.705,59081.91,10.22,5635.345
AUS,1972,Australia,13177,17199.254,39207.182,60502.89,10.2,5780.435
AUS,1973,Australia,13380.4,18014.128,40803.84,62728.07,10.18,5907.195
AUS,1974,Australia,13599.1,17438.439,39468.947,63749.22,10.16,6008.447
AUS,1975,Australia,13771.4,17781.496,39915.695,64554.93,10.14,6134.833
AUS,1976,Australia,13915.5,18220.937,40845.996,65559.29,10.17,6207.547
AUS,1977,Australia,14074.1,18334.977,40500.275,66353.41,10.2,6371.52
AUS,1978,Australia,14248.6,19223.11,42636.633,67692.78,10.23,6424.109
AUS,1979,Australia,14421.9,19530.101,43025.064,68930.09,10.26,6546.444
AUS,1980,Australia,14615.9,20086.091,43633.031,70571.93,10.29,6728.304
AUS,1981,Australia,14923.26,20493.477,44443.291,72510.04,10.296,6881.342
AUS,1982,Australia,15161.775,19619.323,42674.749,73283.3,10.302,6970.486
AUS,1983,Australia,15348.066,20331.05,44276.652,74451.69,10.308,7047.559
AUS,1984,Australia,15510.476,21209.411,45860.734,76008.72,10.314,7173.196
AUS,1985,Australia,15695.238,21963.379,47055.356,77653.95,10.32,7325.85
AUS,1986,Australia,15900.415,22121.866,46281.014,78874.95,10.332,7600.241
AUS,1987,Australia,16136.716,22902.92,47598.959,80581.28,10.344,7764.412
AUS,1988,Australia,16400.734,23419.569,48135.513,82964.45,10.356,7979.517
AUS,1989,Australia,16680.597,23926.91,48490.412,85255.19,10.368,8230.806
AUS,1990,Australia,16956.242,23209.989,46534.201,86210.44,10.38,8457.311
AUS,1991,Australia,17202.125,23074.01,46600.888,86683.59,10.438,8517.478
AUS,1992,Australia,17418.927,23638.576,47925.489,87586.27,10.496,8591.642
AUS,1993,Australia,17607.798,24327.576,49506.031,88771.24,10.554,8652.583
AUS,1994,Australia,17781.089,25381.157,51286.399,90630.5,10.612,8799.693
AUS,1995,Australia,17975.634,26133.128,52143.552,92355.32,10.67,9008.967
AUS,1996,Australia,18195.852,27019.836,53915.268,94484.05,10.72,9118.919
AUS,1997,Australia,18415.263,28010.095,55987.986,97106.84,10.77,9212.928
AUS,1998,Australia,18620.837,29169.351,58095.571,100166.6,10.82,9349.383
AUS,1999,Australia,18830.251,30181.963,60331.696,103571.6,10.87,9420.155
AUS,2000,Australia,19053.186,30239.929,60072.864,105836.8,10.92,9591.136
AUS,2001,Australia,19294.257,31036.061,61468.916,108616.5,10.97,9741.798
AUS,2002,Australia,19534.938,31921.645,63006.078,112438.9,11.02,9897.257
AUS,2003,Australia,19766.54,33042.594,64826.225,116969.6,11.07,10075.21
AUS,2004,Australia,19995.075,33652.276,65804.087,121738.7,11.12,10225.5
AUS,2005,Australia,20232.346,34323.389,66213.397,126947.8,11.17,10487.95
AUS,2006,Australia,20489.472,35002.607,67309.975,132351.5,11.22,10654.96
AUS,2007,Australia,20749.625,36312.304,69377.12,138686.4,11.27,10860.45
AUT,1960,Austria,7047.437,9797.5714,21088.418,21760.22,7.33,3274.203
AUT,1961,Austria,7086.299,10293.066,22233.145,23429.54,7.332,3280.676
AUT,1962,Austria,7129.864,10450.599,22779.812,24856.9,7.334,3270.938
AUT,1963,Austria,7175.811,10798.676,23784.929,26244.82,7.336,3257.914
AUT,1964,Austria,7223.801,11430.221,25406.741,28052.79,7.338,3249.911
AUT,1965,Austria,7270.889,11733.926,26430.417,29826.23,7.34,3227.95
AUT,1966,Austria,7322.066,12343.543,28314.353,31879.32,7.342,3192.029
AUT,1967,Austria,7376.998,12599.204,29609.537,33722.45,7.344,3138.999
AUT,1968,Austria,7415.403,13106.722,31159.453,35632.14,7.346,3119.17
AUT,1969,Austria,7441.055,13846.969,33915.498,37668.88,7.348,3038.023
AUT,1970,Austria,7467.086,14842.885,36784.539,40177.48,7.35,3013.035
AUT,1971,Austria,7500.482,15532.43,38689.21,42660.79,7.364,3011.194
AUT,1972,Austria,7544.201,16434.246,40944.5,45440.15,7.378,3028.081
AUT,1973,Austria,7586.115,17212.838,42910.477,48515.55,7.392,3043.046
AUT,1974,Austria,7599.038,17779.155,44281.81,51463.64,7.406,3051.015
AUT,1975,Austria,7578.903,17673.251,44723.057,53542.84,7.42,2994.962
AUT,1976,Austria,7565.525,18614.728,46930.699,56143.59,7.404,3000.812
AUT,1977,Austria,7568.43,19642.695,48932.16,59218.43,7.388,3038.173
AUT,1978,Austria,7562.305,19164.964,47069.004,61338.28,7.372,3079.124
AUT,1979,Austria,7549.425,20835.427,50477.099,64423.42,7.356,3116.175
AUT,1980,Austria,7549.433,20901.553,50443.04,67279.15,7.34,3128.179
AUT,1981,Austria,7564.629,20810.599,49656.588,69368.32,7.372,3170.263
AUT,1982,Austria,7574.613,21046.444,48256.399,70921.86,7.404,3303.576
AUT,1983,Austria,7552.896,21630.771,49591.865,72291.36,7.436,3294.39
AUT,1984,Austria,7554.132,21801.651,48964.581,73882.35,7.468,3363.504
AUT,1985,Austria,7559.776,22532.519,50760.291,75703.47,7.5,3355.788
AUT,1986,Austria,7568.242,22874.271,51082.278,77429.09,7.552,3389.003
AUT,1987,Austria,7578.903,23267.226,51391.401,79222.28,7.604,3431.314
AUT,1988,Austria,7599.791,24197.555,53540.526,81534.94,7.656,3434.713
AUT,1989,Austria,7627.861,25200.776,55690.07,84126.44,7.708,3451.747
AUT,1990,Austria,7722.953,26022.579,56960.37,86825.72,7.76,3528.263
AUT,1991,Austria,7818.423,26569.143,57624.179,89654.32,7.818,3604.89
AUT,1992,Austria,7914.969,26821.407,57477.569,92146,7.876,3693.451
AUT,1993,Austria,7988.599,26615.637,56973.424,94201.61,7.934,3731.944
AUT,1994,Austria,8027.54,27091.321,56074.842,96497.48,7.992,3878.329
AUT,1995,Austria,8047.433,27609.678,56924.179,99039.73,8.05,3903.21
AUT,1996,Austria,8060.852,28148.132,58616.481,101420.6,8.11,3870.89
AUT,1997,Austria,8069.876,28688.022,59621.447,103774.8,8.17,3882.978
AUT,1998,Austria,8078.622,29669.87,61644.339,106316,8.23,3888.3
AUT,1999,Austria,8094.156,30535.257,63210.872,109087.8,8.29,3910.042
AUT,2000,Austria,8113.413,31574.217,65356.53,112006.4,8.35,3919.649
AUT,2001,Austria,8131.69,31767.103,65566.005,114530.5,8.41,3939.85
AUT,2002,Austria,8148.312,31757.38,65341.472,116270,8.47,3960.257
AUT,2003,Austria,8162.656,32158.512,65808.63,118448.3,8.53,3988.822
AUT,2004,Austria,8174.762,32881.57,68242.399,120588.1,8.59,3938.886
AUT,2005,Austria,8184.691,33450.329,68300.001,122468.5,8.65,4008.501
AUT,2006,Austria,8192.88,34646.336,69581.198,124560.6,8.71,4079.454
AUT,2007,Austria,8199.783,36031.892,71106.309,127135.3,8.77,4155.098
BDI,1990,Burundi,5505.113,968.77628,1961.1264,623.5654,1.38,2719.469
BEL,1960,Belgium,9118.7,9602.1592,23916.536,30437.29,7.67,3661.032
BEL,1961,Belgium,9165.8,10107.624,25252.419,31634.72,7.72,3668.736
BEL,1962,Belgium,9218.4,10586.887,26269.436,32863.62,7.77,3715.122
BEL,1963,Belgium,9283.1,10980.286,27369.019,34008.91,7.82,3724.324
BEL,1964,Belgium,9367,11732.899,29201.819,35686,7.87,3763.535
BEL,1965,Belgium,9448.1,11981.504,29949.546,37283.53,7.92,3779.772
BEL,1966,Belgium,9507.8,12310.974,30826.959,39026.99,8.092,3797.01
BEL,1967,Belgium,9556.5,12685.757,31875.725,40672.15,8.264,3803.253
BEL,1968,Belgium,9589.8,13176.448,33126.255,42234.41,8.436,3814.482
BEL,1969,Belgium,9612.7,14025.802,34995.686,44094.81,8.608,3852.641
BEL,1970,Belgium,9637.8,14893.785,38155.391,46177.28,8.78,3762.072
BEL,1971,Belgium,9672.5,15328.535,39091.859,48026.45,8.67,3792.74
BEL,1972,Belgium,9709.1,16016.03,40886.83,49747.46,8.56,3803.211
BEL,1973,Belgium,9738.4,17041.004,43231.43,51890.22,8.45,3838.691
BEL,1974,Belgium,9767.8,17781.756,44533.773,54407.33,8.34,3900.156
BEL,1975,Belgium,9794.8,17320.888,43250.146,56021.36,8.23,3922.637
BEL,1976,Belgium,9811,18312.108,45379.209,57931.65,8.232,3959.084
BEL,1977,Belgium,9821.8,18429.27,45519.172,59762.23,8.234,3976.535
BEL,1978,Belgium,9829.7,18952.244,46527.264,61601.93,8.236,4003.994
BEL,1979,Belgium,9837.2,19359.661,47007.233,63344.11,8.238,4051.395
BEL,1980,Belgium,9846.8,20327.154,49240.872,65799.18,8.24,4064.864
BEL,1981,Belgium,9852.4,19891.923,47902.806,66964.11,8.308,4091.267
BEL,1982,Belgium,9856.303,19881.971,47563.774,67671.52,8.376,4120
BEL,1983,Belgium,9855.52,19771.009,47088.832,67811.61,8.444,4138
BEL,1984,Belgium,9855.3,20413.534,48689.01,68476.02,8.512,4131.97
BEL,1985,Belgium,9858.2,20663.032,49538.557,68950.13,8.58,4111.955
BEL,1986,Belgium,9861.8,21090.821,50619.109,69648.93,8.638,4108.991
BEL,1987,Belgium,9870.2,21657.946,51948.721,70747.65,8.696,4114.986
BEL,1988,Belgium,9884,22930.82,55016.548,72764.89,8.754,4119.637
BEL,1989,Belgium,9937.697,23761.178,56981.516,75302.35,8.812,4144
BEL,1990,Belgium,9969.31,24558.911,58575.729,78191.83,8.87,4179.81
BEL,1991,Belgium,10004.487,24806.202,58948.531,80622.94,8.916,4210
BEL,1992,Belgium,10045.622,25089.447,59481.123,83008.7,8.962,4237.295
BEL,1993,Belgium,10085.426,24700.428,58221.92,85011.29,9.008,4278.704
BEL,1994,Belgium,10122.914,25432.046,59953.499,87129.35,9.054,4294.102
BEL,1995,Belgium,10155.459,25998.058,61032.287,89391.85,9.1,4325.943
BEL,1996,Belgium,10178.934,26372.559,61876.346,91605.94,9.148,4338.403
BEL,1997,Belgium,10199.787,27307.289,63945.491,94206.5,9.196,4355.718
BEL,1998,Belgium,10217.03,27828.408,65143.28,96920.31,9.244,4364.589
BEL,1999,Belgium,10235.655,28672.09,67175.141,99754.3,9.292,4368.843
BEL,2000,Belgium,10263.618,29692.46,69013.681,102831,9.34,4415.821
BEL,2001,Belgium,10291.679,29743.305,71078.302,105382.9,9.388,4306.639
BEL,2002,Belgium,10311.97,30027.258,71271.257,107602.2,9.436,4344.531
BEL,2003,Belgium,10330.824,30248.991,71465.661,109691.7,9.484,4372.688
BEL,2004,Belgium,10348.276,31070.299,72380.7,112139.7,9.532,4442.124
BEL,2005,Belgium,10364.388,31750.131,71922.144,115065.9,9.58,4575.374
BEL,2006,Belgium,10379.067,32844.227,74505.157,118630.4,9.628,4575.421
BEL,2007,Belgium,10392.226,33797.533,75849.374,122525.5,9.676,4630.646
BEN,1970,Benin,2619.809,995.33088,2816.9445,1489.663,0.46,925.6756
BEN,1971,Benin,2689.271,995.79309,2837.6782,1511.877,0.506,943.7143
BEN,1972,Benin,2761.407,1045.9245,3001.2227,1571.65,0.552,962.3489
BEN,1973,Benin,2836.325,1069.8396,3091.3013,1611.911,0.598,981.5972
BEN,1974,Benin,2914.439,1088.2203,3166.5438,1679.994,0.644,1001.582
BEN,1975,Benin,2995.605,985.67305,2888.4779,1757.108,0.69,1022.229
BEN,1976,Benin,3080.268,956.82494,2823.9564,1781.313,0.77,1043.67
BEN,1977,Benin,3168.267,973.86967,2894.9282,1802.492,0.85,1065.822
BEN,1978,Benin,3259.76,933.78103,2795.8632,1809.393,0.93,1088.716
BEN,1979,Benin,3354.798,976.09828,2943.8868,1870.397,1.01,1112.343
BEN,1980,Benin,3458.062,1031.8805,3134.9944,1935.566,1.09,1138.218
BEN,1981,Benin,3564.85,1058.8545,3217.1092,1988.103,1.162,1173.307
BEN,1982,Benin,3675.13,1271.8617,3878.8417,2110.997,1.234,1205.065
BEN,1983,Benin,3789.035,1233.8248,3770.8825,2125.405,1.306,1239.764
BEN,1984,Benin,3907.047,1261.3845,3861.9245,2106.961,1.378,1276.122
BEN,1985,Benin,4030.484,1287.7127,3953.3917,2120.835,1.45,1312.823
BEN,1986,Benin,4157.854,1305.8493,4017.3852,2123.01,1.55,1351.509
BEN,1987,Benin,4287.908,1251.8268,3740.4131,2114.717,1.65,1435.06
BEN,1988,Benin,4422.114,1235.784,3586.774,2114.729,1.75,1523.591
BEN,1989,Benin,4561.161,1218.2674,3434.3427,2083.257,1.85,1617.985
BEN,1990,Benin,4705.442,1251.556,3421.0184,2068.69,1.95,1721.453
BEN,1991,Benin,4855.063,1262.6469,3350.3754,2061.439,1.988,1829.714
BEN,1992,Benin,5010.143,1255.8416,3234.1588,2048.302,2.026,1945.466
BEN,1993,Benin,5250.36,1258.0517,3230.636,2037.132,2.064,2044.559
BEN,1994,Benin,5488.151,1154.2614,2954.9352,2023.994,2.102,2143.79
BEN,1995,Benin,5646.826,1238.9558,3161.8777,2046.878,2.14,2212.662
BEN,1996,Benin,5820.226,1267.7913,3230.0218,2038.632,2.18,2284.453
BEN,1997,Benin,6006.23,1290.772,3282.9506,2045.819,2.22,2361.496
BEN,1998,Benin,6202.318,1302.3928,3306.2224,2040.851,2.26,2443.228
BEN,1999,Benin,6406.766,1316.2672,3333.7686,2052.33,2.3,2529.574
BEN,2000,Benin,6619.12,1336.0382,3374.4364,2058.234,2.34,2620.703
BEN,2001,Benin,6839.006,1368.2569,3444.5884,2081.39,2.38,2716.585
BEN,2002,Benin,7064.487,1389.7267,3486.1715,2093.294,2.42,2816.186
BEN,2003,Benin,7293.71,1401.5303,3502.8822,2120.829,2.46,2918.27
BEN,2004,Benin,7526.831,1390.1221,3462.085,2155.046,2.5,3022.229
BEN,2005,Benin,7777.709,1380.238,3426.2449,2156.922,2.54,3133.194
BEN,2006,Benin,8031.708,1388.1592,3435.5586,2193.886,2.58,3245.262
BEN,2007,Benin,8278.158,1411.7765,3479.3631,2234.646,2.62,3358.922
BGD,1960,Bangladesh,54592.652,1608.0165,3507.6026,545.2593,0.61,25027.32
BGD,1961,Bangladesh,55708.888,1522.5499,3343.4023,563.6783,0.654,25369.24
BGD,1962,Bangladesh,56803.22,1586.6996,3507.7492,611.2811,0.698,25694.44
BGD,1963,Bangladesh,58186.081,1646.7717,3665.2501,635.2336,0.742,26142.61
BGD,1964,Bangladesh,59358.57,1599.2928,3583.8896,671.6719,0.786,26488.46
BGD,1965,Bangladesh,60284.264,1541.0655,3477.1578,713.3527,0.83,26717.8
BGD,1966,Bangladesh,61496.046,1542.8953,3505.395,754.1754,0.836,27067.41
BGD,1967,Bangladesh,62765.415,1418.4808,3245.2041,801.6793,0.842,27434.8
BGD,1968,Bangladesh,64071.965,1442.3384,3322.9582,875.5491,0.848,27810.6
BGD,1969,Bangladesh,65416.782,1469.7467,3410.0504,933.3987,0.854,28194.92
BGD,1970,Bangladesh,67331.349,1557.0834,3638.417,976.9989,0.86,28814.87
BGD,1971,Bangladesh,69149.652,1508.7181,3528.0589,992.0732,0.944,29570.75
BGD,1972,Bangladesh,70676.996,1359.6835,3181.947,964.5884,1.028,30201.12
BGD,1973,Bangladesh,72382.694,1395.7719,3268.8663,983.8911,1.112,30906.66
BGD,1974,Bangladesh,74584.661,1297.8319,3041.7887,983.2629,1.196,31822.84
BGD,1975,Bangladesh,76152.535,1386.1138,3251.1542,992.0754,1.28,32467.26
BGD,1976,Bangladesh,77821.374,1343.0202,3152.4602,1016.343,1.404,33153.69
BGD,1977,Bangladesh,80313.516,1406.6877,3304.4057,1057.399,1.528,34189.52
BGD,1978,Bangladesh,82812.761,1429.0516,3359.4828,1104.192,1.652,35226.76
BGD,1979,Bangladesh,85361.165,1407.1755,3310.5632,1171.548,1.776,36283.29
BGD,1980,Bangladesh,87937.333,1402.0048,3300.901,1237.178,1.9,37349.97
BGD,1981,Bangladesh,90517.443,1385.6052,3240.4767,1278.517,1.932,38704.63
BGD,1982,Bangladesh,92626.498,1393.6985,3238.9411,1316.826,1.964,39856.67
BGD,1983,Bangladesh,94788.1,1448.3687,3345.6713,1358.228,1.996,41034.55
BGD,1984,Bangladesh,96954.796,1468.5533,3371.831,1401.264,2.028,42227.29
BGD,1985,Bangladesh,99154.171,1451.4389,3311.9338,1494.721,2.06,43453.84
BGD,1986,Bangladesh,101438.05,1482.7957,3366.2154,1544.117,2.088,44682.79
BGD,1987,Bangladesh,103815.66,1497.5703,3377.2924,1579.478,2.116,46034.29
BGD,1988,Bangladesh,106283.67,1553.8806,3485.5626,1614.534,2.144,47381.77
BGD,1989,Bangladesh,108842.4,1589.6278,3547.2085,1647.111,2.172,48776.07
BGD,1990,Bangladesh,111436.65,1616.1626,3588.4679,1667.828,2.2,50188.48
BGD,1991,Bangladesh,114009.45,1635.5404,3619.3032,1695.321,2.242,51520.16
BGD,1992,Bangladesh,116560.64,1647.8622,3668.6476,1741.817,2.284,52356.04
BGD,1993,Bangladesh,119096.03,1636.6573,3665.0634,1796.194,2.326,53183.09
BGD,1994,Bangladesh,121615.24,1697.5393,3826.1615,1858.545,2.368,53956.59
BGD,1995,Bangladesh,124130.12,1664.3175,3771.9995,1928.878,2.41,54769.88
BGD,1996,Bangladesh,126678.38,1614.5848,3675.5379,2010.148,2.444,55647.09
BGD,1997,Bangladesh,129239.04,1710.5893,3875.5718,2103.942,2.478,57043.18
BGD,1998,Bangladesh,131766.93,1760.4683,3967.6969,2213.184,2.512,58465.03
BGD,1999,Bangladesh,134249.58,1764.996,3963.0396,2334.16,2.546,59789.96
BGD,2000,Bangladesh,136681.49,1793.549,4014.1081,2461.411,2.58,61070.84
BGD,2001,Bangladesh,139067.48,1848.7131,4097.9007,2591.568,2.614,62738.43
BGD,2002,Bangladesh,141414.81,1985.8676,4367.8775,2731.516,2.648,64294.64
BGD,2003,Bangladesh,143702.9,2047.7907,4470.158,2881.142,2.682,65830.66
BGD,2004,Bangladesh,145905.19,2112.1046,4581.5274,3045.267,2.716,67262.95
BGD,2005,Bangladesh,148020.69,2166.0079,4660.6296,3230.223,2.75,68791.99
BGD,2006,Bangladesh,150045.63,2255.341,4825.1158,3429.183,2.784,70133.88
BGD,2007,Bangladesh,152033.86,2340.9539,4999.2574,3639.083,2.818,71191.42
BGR,1970,Bulgaria,8489.574,2608.4672,4898.731,7199.837,6.6,4520.513
BGR,1971,Bulgaria,8536.395,2773.0391,5207.6985,7717.068,6.668,4545.531
BGR,1972,Bulgaria,8576.2,2971.5155,5580.3246,8272.355,6.736,4566.815
BGR,1973,Bulgaria,8620.997,3197.8141,6005.1837,8869.836,6.804,4590.758
BGR,1974,Bulgaria,8678.745,3415.9256,6414.6522,9506.461,6.872,4621.599
BGR,1975,Bulgaria,8720.742,3698.9246,6945.9525,10207.96,6.94,4644.052
BGR,1976,Bulgaria,8755.037,3926.4208,7373.0095,10931.01,7.014,4662.405
BGR,1977,Bulgaria,8797.022,4149.7374,7792.2016,11696.47,7.088,4684.854
BGR,1978,Bulgaria,8803.281,4378.5206,8221.6426,12522.42,7.162,4688.278
BGR,1979,Bulgaria,8811.589,4674.7878,8777.7805,13309.13,7.236,4692.793
BGR,1980,Bulgaria,8843.528,4902.0835,9204.3928,14224.49,7.31,4709.894
BGR,1981,Bulgaria,8869.441,5141.5895,9684.3416,15242.56,7.39,4708.944
BGR,1982,Bulgaria,8892.098,5279.1651,9951.6706,16166.57,7.47,4717.083
BGR,1983,Bulgaria,8910.284,5472.9905,10335.489,17026.14,7.55,4718.296
BGR,1984,Bulgaria,8928.271,5646.6528,10666.394,17910.37,7.63,4726.513
BGR,1985,Bulgaria,8943.573,5812.3542,11018.295,18730.49,7.71,4717.9
BGR,1986,Bulgaria,8958.77,6036.6263,11664.135,19801.94,8.004,4636.499
BGR,1987,Bulgaria,8971.958,6364.1599,12562.234,20746.62,8.298,4545.288
BGR,1988,Bulgaria,8982.025,7055.6208,14256.138,21973.63,8.592,4445.367
BGR,1989,Bulgaria,8990.055,6797.3268,13921.543,22952.61,8.886,4389.48
BGR,1990,Bulgaria,8894.028,6209.3832,12881.102,23513.17,9.18,4287.399
BGR,1991,Bulgaria,8772.368,6600.8379,14264.488,22775.24,9.196,4059.38
BGR,1992,Bulgaria,8658.506,6104.1719,13183.341,22015.51,9.212,4009.075
BGR,1993,Bulgaria,8441.872,6073.1637,13285.816,21190.88,9.228,3858.918
BGR,1994,Bulgaria,8353.335,6187.8794,13739.692,20369.95,9.244,3762.052
BGR,1995,Bulgaria,8255.811,6415.0617,14441.763,19945.7,9.26,3667.249
BGR,1996,Bulgaria,8161.026,5715.2598,13081.089,19116.86,9.302,3565.635
BGR,1997,Bulgaria,8066.057,5510.8092,12860.487,18390.86,9.344,3456.362
BGR,1998,Bulgaria,7971.774,5794.6437,13801.201,18132.28,9.386,3347.07
